Job ID,Job Title,Company,Location,Remote,Salary,Job Type,Rating,Reviews,Posted,Benefits,Skills (detected),Apply Link,Description
817930c1147c2732,"Delivery Consultant - Data Engineer, Data and Machine Learning, WWPS US Federal","Amazon Web Services, Inc.","Arlington, VA",No,"$118,200 - $204,300 a year",Full-time,3.4,515,Just posted,,"python, sql, aws",https://www.indeed.com/applystart?jk=817930c1147c2732&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nan55dg2m0813&astse=e833a9c918e36cb4&assa=867&params=mobvjtk=1j4nan55dg2m0813&jk=817930c1147c2732,"DESCRIPTION The Amazon Web Services Professional Services (ProServe) team is seeking a skilled Delivery Consultant to join our team at Amazon Web Services (AWS). In this role, you'll work closely with customers to design, implement, and manage AWS solutions that meet their technical requirements and business objectives. You'll be a key player in driving customer success through their cloud journey, providing technical expertise and best practices throughout the project lifecycle. Possessing a de..."
ab9627dbb148aec4,Senior Data Engineer,IQVIA,Remote,Yes,"$100,600 - $280,200 a year",Full-time,3.7,2670,Just posted,,"python, java, sql, excel",https://www.indeed.com/applystart?jk=ab9627dbb148aec4&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nan7fsgqqc801&astse=decf3827db78c10d&assa=3175&params=mobvjtk=1j4nan7fsgqqc801&jk=ab9627dbb148aec4,"About the Role We are seeking a skilled and motivated Senior Data Engineer to join our team and help build scalable, reliable, and efficient data infrastructure. This role will be instrumental in supporting our Measurement Product and Engineering teams by designing and maintaining data pipelines, optimizing data storage, and enabling data-driven decision-making across the organization. Key Responsibilities Design, build, and maintain robust data pipelines using Airflow and Cloud Functions to mee..."
7c4d849c99027236,Data Center Mechanical Automation Manufacturing Engineer,Google,"Austin, TX",No,"$144,000 - $211,000 a year",Full-time,4.3,5982,Just posted,,,https://www.indeed.com/applystart?jk=7c4d849c99027236&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nan7tdg06d800&astse=ece5bdd7ab2ee567&assa=3604&params=mobvjtk=1j4nan7tdg06d800&jk=7c4d849c99027236,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Sunnyvale, CA, USA; Austin, TX, USA; Kirkland, WA, USA . Minimum qualifications: Bachelor's degree in Mechanical or Industrial Engineering, a related discipline, or equivalent practical experience. 5 years of experience in mission critical facility design and construction environments. 5 years of experience in mechanical process engineering and manufacturing automation. 5 ..."
70a7311fd16aa111,Data Engineer - Azure,Savas Management Center LLC,"Scottsdale, AZ 85254",No,"$100,000 - $150,000 a year",,2.5,66,Just posted,,"python, sql, machine learning",https://www.indeed.com/viewjob?jk=70a7311fd16aa111,"Location: Scottsdale, AZ (Hybrid 3 days Onsite), $100K to $150K, must be authorized to work in USA, no visa sponsorship available Company Overview: Savas Software is a leading provider of transdisciplinary pain management patient care and is launching electronic health record (EHR) software focused on coordinating multidisciplinary care. We are committed to providing exceptional patient care and dedicated to improving healthcare delivery through innovative technology. Position Overview: We are s..."
fd473778fa0fcb2e,Senior Data Operations Engineer,Gold Coast Health Plan,"Camarillo, CA 93010",No,"$104,344 - $173,906 a year",Full-time,3.8,26,Just posted,,"sql, excel",https://www.indeed.com/viewjob?jk=fd473778fa0fcb2e,"The pay range above represents the minimum and maximum rate for this position in California. Factors that may be used to determine where newly hired employees will be placed in the pay range include the employee specific skills and qualifications, relevant years of experience and comparison to other employees already in this role. Most often, a newly hired employee will be placed below the midpoint of the range. Salary range will vary for remote positions outside of California and future increas..."
b32e7d55317e214e,Senior Data Engineer – Engineering Analytics,Delta Airlines,"Atlanta, GA",No,,,4.2,5259,Just posted,,"python, sql, excel, machine learning, aws",https://www.indeed.com/applystart?jk=b32e7d55317e214e&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nana68j729803&astse=d92e11edb40100b4&assa=5970&params=mobvjtk=1j4nana68j729803&jk=b32e7d55317e214e,"UNITED STATES, GEORGIA, ATLANTA TECHOPS 08-SEP-2025 REF #: 29741 LINKEDIN TAG: #LI-TB1 HOW YOU'LL HELP US KEEP CLIMBING (OVERVIEW & KEY RESPONSIBILITIES) Delta Air Lines connects the world by flying 180 million customers to 300+ destinations every year. The Engineering Analytics team builds and optimizes our data workflows and warehousing; and deploys data science and machine learning models to support this complex operation. The team is seeking a Senior Data Engineer to take on developing data ..."
c2bf118e5e2777fe,"Risk Data Engineering, Staff AI Engineer",SoFi,"Jacksonville, FL",No,"$153,600 - $264,000 a year",,3.2,113,Just posted,,"machine learning, aws",https://www.indeed.com/applystart?jk=c2bf118e5e2777fe&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nanaotlvuh804&astse=da180b06902c1493&assa=6551&params=mobvjtk=1j4nanaotlvuh804&jk=c2bf118e5e2777fe,"Description Position at SoFi Employee Applicant Privacy Notice Who we are: Shape a brighter financial future with us. Together with our members, we’re changing the way people think about and interact with personal finance. We’re a next-generation financial services company and national bank using innovative, mobile-first technology to help our millions of members reach their goals. The industry is going through an unprecedented transformation, and we’re at the forefront. We’re proud to come to w..."
49524663305ee88e,Engineer - Data Enablement,Toyota,"Plano, TX 75024",No,,Full-time,3.6,309,Just posted,,,https://www.indeed.com/applystart?jk=49524663305ee88e&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nanbd8jn3v806&astse=afa086bb2fc0a9b9&assa=7198&params=mobvjtk=1j4nanbd8jn3v806&jk=49524663305ee88e,"Overview Who we are Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world’s most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We’re looking for talented team members who want to Dream. Do. Grow. with us. To save time applying, Toyota does not offer sponsorship of job applicants for employme..."
417fdc389b594fa7,"Sr. Mechanical Engineer, Data Center Eng, MPS","Amazon Data Services, Inc.","Austin, TX",No,"$128,600 - $212,800 a year",Full-time,3.5,53845,Just posted,,aws,https://www.indeed.com/applystart?jk=417fdc389b594fa7&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nanbm6iudt800&astse=2bcfaa746960d014&assa=7505&params=mobvjtk=1j4nanbm6iudt800&jk=417fdc389b594fa7,"DESCRIPTION Are you interested in developing solutions that have big impact? Are you someone who likes to challenge the status quo and work on developing innovative product solutions? If you are a piping engineer and looking for an exciting career in cloud infrastructure, come join a team that constantly seeks ways to build things better & faster for our customers. AWS is looking for a Sr. Mechanical Engineer to become part of a global data center engineering team, responsible for the design and..."
9cba725bfc0008b5,"Sr. Electrical Design Engineer, Data Center Design Engineering","Amazon Web Services, Inc.","Austin, TX",No,,Full-time,3.4,515,Just posted,,aws,https://www.indeed.com/applystart?jk=9cba725bfc0008b5&from=mobvj&mvj=1&asub=mob&mobvjtk=1j4nanbrtiudt805&astse=b9966cfcb1a243be&assa=7711&params=mobvjtk=1j4nanbrtiudt805&jk=9cba725bfc0008b5,"DESCRIPTION Amazon Web Services Infrastructure Services is seeking an Electrical Engineer to become part of a global engineering team. We are looking for engineers with hands on electrical design experience. If you can design an electrical system, have an understanding of the critical equipment needs for a data center, and understand the constructability of varying designs you may be a good fit. As we grow we are structuring our team to own more of our engineering in house. Engineers will be res..."
